"zone","state","lga","sector","ea","ric","hhid","wt_wave1","wt_combined","hhno","qno","qnoa","saq11","saq12","saq13d","saq13m","saq13y","saq14ah","saq14am","saq14bh","saq14bm","saq16","saq17d","saq17m","saq17y","saq18ah","saq18am","saq18bh","saq18bm","saq20","saq21d","saq21m","saq21y","saq22ah","saq22am","saq22bh","saq22bm","saq24","sq1","sq2","trackingobs"
2,2,209,2,1040,1305,20004,3489.77734375,4081.61108398438,12,1,2,3,1,2,3,2011,17,46,19,32,1,,,,,,,,,,,,,,,,,1,1,0
2,2,209,2,1040,1305,20005,3489.77734375,4081.61108398438,1,1,2,4,1,2,3,2011,16,41,19,32,1,,,,,,,,,,,,,,,,,1,1,0
2,2,209,2,1040,1305,20006,3489.77734375,4081.61108398438,14,1,2,3,1,2,3,2011,13,53,15,2,1,,,,,,,,,,,,,,,,,1,1,0
2,2,209,2,1040,1305,20007,3489.77734375,4081.61108398438,22,1,2,4,1,2,3,2011,13,18,16,24,1,,,,,,,,,,,,,,,,,1,1,0
2,2,209,2,1040,1305,20008,3489.77734375,4081.61108398438,6,1,2,2,1,2,3,2011,16,2,18,15,1,,,,,,,,,,,,,,,,,1,1,0
2,2,209,2,1040,1305,20009,3489.77734375,4081.61108398438,20,1,2,5,1,3,3,2011,11,30,18,10,1,,,,,,,,,,,,,,,,,1,1,0
2,2,209,2,1040,1305,20010,3489.77734375,4081.61108398438,36,1,2,5,1,5,3,2011,16,3,17,5,1,,,,,,,,,,,,,,,,,1,1,0
2,2,221,2,18,1210,20011,9091.7880859375,9570.3037109375,7,1,2,3,1,7,3,2011,13,21,14,15,1,,,,,,,,,,,,,,,,,1,1,0
2,2,221,2,18,1210,20012,9091.7880859375,9570.3037109375,18,1,3,4,1,7,3,2011,14,9,17,24,1,,,,,,,,,,,,,,,,,1,1,0
2,2,221,2,18,1210,20013,9091.7880859375,9570.3037109375,103,1,2,5,1,7,3,2011,14,0,16,30,1,,,,,,,,,,,,,,,,,1,1,0
2,2,221,2,18,1210,20014,9091.7880859375,9570.3037109375,60,1,2,2,1,7,3,2011,12,40,13,55,1,,,,,,,,,,,,,,,,,1,1,0
2,2,221,2,18,1210,20015,9091.7880859375,9570.3037109375,82,1,2,4,1,7,3,2011,9,3,11,17,1,,,,,,,,,,,,,,,,,1,1,0
2,2,221,2,18,1210,20016,9091.7880859375,9570.3037109375,92,1,2,2,1,7,3,2011,11,15,12,30,1,,,,,,,,,,,,,,,,,1,1,0
2,2,221,2,18,1210,20017,9091.7880859375,9570.3037109375,28,1,3,2,1,7,3,2011,14,40,16,20,1,,,,,,,,,,,,,,,,,1,1,0
2,2,221,2,18,1210,20018,9091.7880859375,9570.3037109375,39,1,2,5,1,7,3,2011,11,24,13,30,1,,,,,,,,,,,,,,,,,1,1,0
2,2,221,2,18,1210,20019,9091.7880859375,9570.3037109375,50,1,2,4,1,7,3,2011,11,35,13,52,1,,,,,,,,,,,,,,,,,1,1,0
2,2,221,2,18,1210,20020,9091.7880859375,9570.3037109375,71,1,2,3,1,7,3,2011,16,20,17,37,1,15,3,2011,8,20,12,1,1,,,,,,,,,1,1,0
2,2,201,2,60,1501,20021,2938.76000976563,3093.43139648438,1,1,2,2,1,3,3,2011,12,15,15,10,1,,,,,,,,,,,,,,,,,1,1,0
2,2,201,2,60,1501,20022,2938.76000976563,3093.43139648438,5,1,2,3,1,3,3,2011,9,52,12,18,1,,,,,,,,,,,,,,,,,1,1,0
2,2,201,2,60,1501,20023,2938.76000976563,3093.43139648438,13,1,2,3,1,4,3,2011,7,31,12,58,1,,,,,,,,,,,,,,,,,1,1,0
2,2,201,2,60,1501,20024,2938.76000976563,3093.43139648438,9,1,2,5,1,4,3,2011,11,15,14,30,1,,,,,,,,,,,,,,,,,1,1,0
2,2,201,2,60,1501,20025,2938.76000976563,3093.43139648438,22,1,3,4,1,3,3,2011,9,52,13,7,1,,,,,,,,,,,,,,,,,1,1,0
2,2,201,2,60,1501,20026,2938.76000976563,3093.43139648438,15,1,2,5,1,4,3,2011,10,15,18,10,1,,,,,,,,1,,,,,,,,1,1,1,0
2,2,201,2,60,1501,20027,2938.76000976563,3093.43139648438,7,1,2,2,1,3,3,2011,10,32,11,51,1,,,,,,,,,,,,,,,,,1,1,0
2,2,201,2,60,1501,20028,2938.76000976563,3093.43139648438,18,1,2,3,1,3,3,2011,14,52,17,21,1,,,,,,,,,,,,,,,,,1,1,0
2,2,201,2,60,1501,20029,2938.76000976563,3093.43139648438,3,1,2,5,1,4,3,2011,15,20,17,10,1,,,,,,,,,,,,,,,,,1,1,0
2,2,201,2,60,1501,20030,2938.76000976563,3093.43139648438,11,1,2,4,1,3,3,2011,13,34,16,44,1,,,,,,,,,,,,,,,,,1,1,0
2,2,216,2,200,1308,20031,2663.25122070313,2803.42236328125,16,1,2,5,1,30,3,2011,11,40,18,30,1,,,,,,,,,,,,,,,,,1,1,0
2,2,216,2,200,1308,20032,2663.25122070313,2803.42236328125,32,1,2,2,1,29,3,2011,12,15,13,40,1,,,,,,,,,,,,,,,,,1,1,0
2,2,216,2,200,1308,20033,2663.25122070313,2803.42236328125,4,1,2,4,1,30,3,2011,8,19,12,31,1,,,,,,,,,,,,,,,,,1,1,0
2,2,216,2,200,1308,20034,2663.25122070313,2803.42236328125,35,1,3,3,1,30,3,2011,14,35,16,12,1,,,,,,,,,,,,,,,,,1,1,0
2,2,216,2,200,1308,20035,2663.25122070313,2803.42236328125,1,1,2,4,1,29,3,2011,10,13,14,18,1,,,,,,,,,,,,,,,,,1,1,0
2,2,216,2,200,1308,20036,2663.25122070313,2803.42236328125,10,1,2,5,1,29,3,2011,13,10,16,20,1,,,,,,,,,,,,,,,,,1,1,0
2,2,216,2,200,1308,20037,2663.25122070313,2803.42236328125,19,1,2,2,1,29,3,2011,15,1,16,30,1,,,,,,,,,,,,,,,,,1,1,0
2,2,216,2,200,1308,20038,2663.25122070313,2803.42236328125,22,1,2,2,1,30,3,2011,10,14,14,21,1,,,,,,,,,,,,,,,,,1,1,0
2,2,216,2,200,1308,20039,2663.25122070313,2803.42236328125,26,1,2,3,1,30,3,2011,9,46,10,58,1,,,,,,,,,,,,,,,,,1,1,0
2,2,216,2,200,1308,20040,2663.25122070313,2803.42236328125,7,1,2,4,1,30,3,2011,12,47,17,10,1,,,,,,,,,,,,,,,,,1,1,0
2,2,203,2,1224,1102,20041,3489.77734375,3673.44995117188,7,1,2,3,1,5,3,2011,14,54,16,31,1,,,,,,,,,,,,,,,,,1,1,0
2,2,203,2,1224,1102,20042,3489.77734375,3673.44995117188,18,1,2,2,1,5,3,2011,15,1,16,20,1,,,,,,,,,,,,,,,,,1,1,0
2,2,203,2,1224,1102,20043,3489.77734375,3673.44995117188,8,1,2,4,1,5,3,2011,8,27,10,43,1,,,,,,,,,,,,,,,,1,1,1,0
2,2,203,2,1224,1102,20044,3489.77734375,3673.44995117188,3,1,2,5,1,8,3,2011,14,0,16,0,1,,,,,,,,,,,,,,,,,1,1,0
2,2,203,2,1224,1102,20045,3489.77734375,3673.44995117188,12,1,2,4,1,5,3,2011,14,12,17,2,1,,,,,,,,,,,,,,,,,1,1,0
